ibus-m17n@1.3.1@i486@2tt@/salix/x@atk,cairo,cxxlibs|gcc-g++,dbus,expat,fontconfig,freetype,gcc,gdk-pixbuf2,glib2,gtk+2,ibus,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libpng,libxcb,libxml2,m17n-lib,pango,pixman,zlib@29 K@116 K
openal-soft@1.12.854@i486@1mb@/salix/l@@94 K@376 K
scrotwm@0.9.28@i486@1gv@/salix/xap@libX11,libXau,libXdmcp,libXext,libXrandr,libXrender,libxcb@57 K@228 K
midori@0.3.3@i486@1cd@/salix/xap@atk,cairo,cxxlibs|gcc-g++,dbus,dbus-glib,enchant,expat,fontconfig,freetype,gcc,gdk-pixbuf2,glib2,gnutls,gst-plugins-base,gstreamer,gtk+2,icu,libICE,libSM,libX11,libXScrnSaver,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libXt,libgcrypt,libgpg-error,libjpeg,libnotify,libpng,libsoup,libunique,libxcb,libxml2,libxslt,pango,pixman,sqlite,util-linux,webkit,zlib@610 K@2440 K
kdebase-lite@4.5.5@i486@2dj@/salix/kde@acl,attica,attr,bzip2,cxxlibs|gcc-g++,expat,fontconfig,freetype,gamin,gcc,glib2,kdelibs,libICE,libSM,libX11,libXau,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXft,libXi,libXpm,libXrender,libXt,libXtst,libXxf86vm,libdbusmenu-qt,libdrm,libpng,libxcb,libxml2,mesa,phonon,qca,qimageblitz,qt,soprano,sqlite,strigi,utempter,util-linux,xz,zlib@1576 K@6304 K
pyxdg@0.19@i486@1gv@/salix/l@python@62 K@248 K
libreoffice-l10n-fa@3.3.2@i686@1gv@/salix/locale@@1443 K@5772 K
pangomm@2.28.2@i486@1pw@/salix/gnome@cairo,cairomm,cxxlibs|gcc-g++,expat,fontconfig,freetype,gcc,glib2,glibmm,libX11,libXau,libXdmcp,libXrender,libpng,libsigc++,libxcb,pango,pixman,zlib@98 K@392 K
SimGear@2.0.0@i486@1mb@/salix/l@@1107 K@4428 K
libxml++@2.33.2@i486@1pw@/salix/l@cxxlibs|gcc-g++,gcc,glib2,glibmm,libsigc++,libxml2,zlib@87 K@348 K
btpd@0.16@i486@1rl@/salix/ap@openssl@61 K@244 K
hedgewars@0.9.16@i486@1ab@/salix/games@cxxlibs|gcc-g++,expat,fontconfig,freetype,gcc,glib2,libICE,libSM,libX11,libXau,libXdmcp,libXext,libXrandr,libXrender,libjpeg,libpng,libtiff,libxcb,qt,sdl,svgalib,util-linux,zlib@117566 K@470264 K
wxMaxima@0.8.7@i486@1cd@/salix/xap@atk,cairo,cxxlibs|gcc-g++,expat,fontconfig,freetype,gcc,gdk-pixbuf2,glib2,gtk+2,libICE,libSM,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libXxf86vm,libjpeg,libpng,libtiff,libxcb,maxima,pango,pixman,sdl,svgalib,util-linux,wxGTK,zlib@526 K@2104 K
lxsession@0.4.5@i486@1tt@/salix/lxde@atk,cairo,cxxlibs|gcc-g++,dbus,expat,fontconfig,freetype,gcc,gdk-pixbuf2,glib2,gtk+2,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libpng,libxcb,pango,pixman,zlib@54 K@216 K
perl-fcgi@0.71@i486@1fg@/salix/d@perl@30 K@120 K
gnumeric@1.10.12@i486@1gv@/salix/gnome@GConf,ORBit2,atk,bzip2,cairo,cxxlibs|gcc-g++,expat,fontconfig,freetype,gcc,gdk-pixbuf2,glib2,goffice,gtk+2,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libgsf,libpng,libxcb,libxml2,pango,pixman,zlib@10556 K@42224 K
mozilla-firefox-l10n-en-ZA@9.0.1@i486@1gv@/salix/locale@@110 K@440 K
ftgl@2.1.3_rc5@i486@1fb@/salix/l@cxxlibs|gcc-g++,freetype,gcc,libX11,libXau,libXdamage,libXdmcp,libXext,libXfixes,libXxf86vm,libdrm,libxcb,mesa,zlib@101 K@404 K
goocanvas@1.0.0@i486@1gv@/salix/gnome@atk,cairo,cxxlibs|gcc-g++,expat,fontconfig,freetype,gcc,gdk-pixbuf2,glib2,gtk+2,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libpng,libxcb,pango,pixman,zlib@115 K@460 K
mozilla-firefox-l10n-gu-IN@9.0.1@i486@1gv@/salix/locale@@126 K@504 K
libgnomeui@2.24.4@i486@1gv@/salix/gnome@GConf,ORBit2,alsa-lib,atk,audiofile,cairo,dbus,dbus-glib,esound,expat,fontconfig,freetype,gcc,cxxlibs|gcc-g++,gdk-pixbuf2,glib2,gnome-vfs,gtk+2,libICE,libSM,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libart_lgpl,libbonobo,libbonoboui,libcanberra,libgcrypt,libglade,libgnome,libgnome-keyring,libgnomecanvas,libgpg-error,libogg,libpng,libtool,libvorbis,libxcb,libxml2,openssl-solibs|openssl,pango,pixman,popt,util-linux,zlib@670 K@2680 K
ruby-gettext@2.1.0@i486@2ab@/salix/d@ruby,ruby-locale@70 K@280 K
xpenguins@2.2@i486@2ab@/salix/xap@libX11,libXau,libXdmcp,libXext,libXpm,libxcb@170 K@680 K
gtkhtml@3.26.3@i486@1gv@/salix/gnome@GConf,ORBit2,alsa-lib,atk,audiofile,cairo,cxxlibs|gcc-g++,dbus,dbus-glib,enchant,esound,expat,fontconfig,freetype,gcc,gdk-pixbuf2,glib2,gnome-vfs,gtk+2,libICE,libSM,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libart_lgpl,libbonobo,libbonoboui,libcanberra,libgcrypt,libglade,libgnome,libgnome-keyring,libgnomecanvas,libgnomeui,libgpg-error,libogg,libpng,libtool,libvorbis,libxcb,libxml2,openssl-solibs|openssl,pango,pixman,popt,util-linux,zlib@679 K@2716 K
hydrogen@0.9.4@i486@2dj@/salix/xap@acl,alsa-lib,attr,bzip2,curl,cxxlibs|gcc-g++,cyrus-sasl,dbus,expat,flac,fontconfig,freetype,gcc,glib2,jack,lash,libICE,libSM,libX11,libXau,libXdmcp,libXext,libXrender,libarchive,libidn,liblrdf,libogg,libpng,libsndfile,libvorbis,libxcb,libxml2,libxslt,openldap-client,openssl-solibs|openssl,qt,raptor,util-linux,xz,zlib@2976 K@11904 K
subsonic@4.5@noarch@1cp@/salix/n@jre|jdk,lame,ffmpeg,flac,faad2,vorbis-tools@27330 K@109320 K
salix-artwork@13.37@noarch@2gv@/salix/l@@5658 K@22632 K
htop@0.9@i486@1gv@/salix/ap@ncurses@60 K@240 K
mozilla-thunderbird-l10n-fr@3.1.16@i486@1ab@/salix/locale@@163 K@652 K
libreoffice-l10n-bs@3.3.2@i686@1gv@/salix/locale@@1449 K@5796 K
gst-plugins-ugly@0.10.17@i486@1gv@/salix/l@gst-plugins-base,gstreamer@208 K@832 K
mozilla-thunderbird-l10n-sr@3.1.16@i486@1ab@/salix/locale@@171 K@684 K
libreoffice-l10n-om@3.3.2@i686@1gv@/salix/locale@@1443 K@5772 K
xfce4-battery-plugin@r7895@i486@1gv@/salix/xfce@atk,cairo,expat,fontconfig,freetype,gcc,cxxlibs|gcc-g++,gdk-pixbuf2,glib2,gtk+2,libICE,libSM,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libpng,libxcb,pango,pixman,startup-notification,util-linux,xcb-util,xfce,zlib@55 K@220 K
proj@4.7.0@i486@1cp@/salix/l@@273 K@1092 K
libreoffice-l10n-zh-TW@3.3.2@i686@1gv@/salix/locale@@1429 K@5716 K
mozilla-firefox-l10n-eu@9.0.1@i486@1gv@/salix/locale@@117 K@468 K
parcellite@0.9.3@i486@1tm@/salix/xap@atk,cairo,cxxlibs|gcc-g++,expat,fontconfig,freetype,gcc,gdk-pixbuf2,glib2,gtk+2,libX11,libXau,libXcomposite,libXcursor,libXdamage,libXdmcp,libXext,libXfixes,libXi,libXinerama,libXrandr,libXrender,libpng,libxcb,pango,pixman,zlib@42 K@168 K
frei0r-plugins@1.2.1@i486@1lm@/salix/l@cxxlibs|gcc-g++,gcc@172 K@688 K
unetbootin@494@i486@2gv@/salix/xap@cxxlibs|gcc-g++,expat,fontconfig,freetype,gcc,glib2,libICE,libSM,libX11,libXau,libXdmcp,libXext,libXrender,libpng,libxcb,qt,util-linux,zlib,p7zip@233 K@932 K
libebml@1.0.0@i486@1gv@/salix/l@@73 K@292 K
mozilla-thunderbird-l10n-el@3.1.16@i486@1ab@/salix/locale@@147 K@588 K
